Symbol,Description,Price,Price - Currency,Volume 1 day,Relative volume 1 day,Price,Price - Currency,Price to earnings ratio,Sector,Industry,Average volume 30 days,Market capitalization,Market capitalization - Currency,Free float %,Total common shares outstanding,Price to sales ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY",Average daily range %,"Earnings per share reported, Quarterly","Earnings per share reported, Quarterly - Currency","Earnings per share estimate, Quarterly","Earnings per share estimate, Quarterly - Currency",CUSIP
AA,Alcoa Corporation,63.18,USD,2775137,0.8244219208640767,63.18,USD,15.891541112256961,Non-energy minerals,Aluminum,4947647.099999977,16672561322.120687,USD,99.5193,263890000,1.2838834951456317,3.9757,USD,17.679966848212164,3.2557545335323366,1.4,USD,2.128206,USD,013872106
AAL,"American Airlines Group, Inc.",13.35,USD,57409560,1.1703125007230426,13.35,USD,43.584720861900095,Transportation,Airlines,55414456.56666665,8829491714.009863,USD,98.2197,661385000,0.15563034575133047,0.3063,USD,-64.63865158162086,3.3841091492776996,-0.4,USD,0.022414,USD,02376R102
AAOI,"Applied Optoelectronics, Inc.",148.94,USD,20663474,1.9882228282983772,148.94,USD,,Electronic technology,Semiconductors,12022373.433333334,11757791219.605713,USD,95.16299999999998,78943100,23.61074753451678,-0.6602,USD,82.91938321432268,13.629534424216889,-0.07,USD,0.015333,USD,03823U102
AAON,"AAON, Inc.",139.66,USD,1934534,1.1590734956514988,139.66,USD,98.24141812042768,Producer manufacturing,Industrial machinery,1114524.8333333333,11430292797.38971,USD,82.96589999999999,81843700,6.648910518702405,1.4216,USD,-25.31259850793317,5.059813629017414,0.48,USD,0.478333,USD,000360206
AAP,Advance Auto Parts Inc.,56.15,USD,2257764,1.9293994992266212,56.15,USD,77.06560527038155,Retail trade,Specialty stores,1301638.6666666667,3387485023.4702077,USD,98.0654,60329200,0.40450871890258006,0.7286,USD,,4.136980027986283,0.86,USD,0.430159,USD,00751Y106
AAPL,Apple Inc.,293.32,USD,52185645,1.0016544378203036,293.32,USD,35.4829734470453,Electronic technology,Telecommunications equipment,45870800.266667075,4308095429129.9526,USD,99.8793,14687400000,9.376187716517288,8.2665,USD,29.004822172630675,2.0036357172078954,2.01,USD,1.872684,USD,037833100
ABAT,American Battery Technology Company,3.17,USD,6479696,1.4497693226008677,3.17,USD,,Non-energy minerals,Other metals/Minerals,3942656.9999999776,417518291.21035606,USD,96.3775,131709000,42.26061558656313,-0.4031,USD,55.41915505419155,7.657278053177261,-0.07,USD,-0.08,USD,02451V309
ABBV,AbbVie Inc.,201.55,USD,4753252,0.6648251626997442,201.55,USD,99.13432688997098,Health technology,Pharmaceuticals: major,6642664.466666667,356494059237.289,USD,99.8731,1768760000,5.7245027778219955,2.0331,USD,-13.30803342998465,2.481227628734339,2.65,USD,3.762173,USD,00287Y109
ABCL,AbCellera Biologics Inc.,5.24,USD,10666758,1.04882435842513,5.24,USD,,Health technology,Biotechnology,5974660,1588561034.1327798,USD,77.17769999999999,303160000,19.28594809048075,-0.4905,USD,11.334056399132326,6.775899672846367,-0.03,USD,-0.171429,USD,00288U106
ABNB,"Airbnb, Inc.",141.49,USD,7702974,2.1419742473373793,141.49,USD,34.85061208404148,Consumer services,Hotels/Resorts/Cruise lines,3562647.3,85465412886.19243,USD,95.8005,418898000,6.718036500943993,4.0599,USD,2.1538384117957854,3.0285482063346922,0.26,USD,1.24411,USD,009066101
ABSI,Absci Corporation,5.9,USD,7326326,1.193519422523909,5.9,USD,,Health technology,Biotechnology,4894859.266666667,917139767.7391305,USD,86.43819999999998,155447000,479.0473259803906,-0.829,USD,10.388066155010277,9.09552058111382,-0.19,USD,-0.207888,USD,00091E109
ABT,Abbott Laboratories,84.32,USD,10766646,0.7760941532130721,84.32,USD,23.49073687143056,Health technology,Medical specialties,12555407.966666669,146869623313.32028,USD,99.3177,1741810000,3.368033449949036,3.5895,USD,-53.436936527909296,2.485217877473539,1.15,USD,1.280724,USD,002824100
ABTC,American Bitcoin Corp.,1.19,USD,9047737,0.6017468351140339,1.19,USD,,Technology services,Data processing services,15366529.8,1261934737.7844827,USD,58.304500000000004,328225000,5.730435666582542,-0.4869,USD,70.5658324265506,7.100240096038528,0,USD,0,USD,02462A104
ACHR,Archer Aviation Inc.,6.48,USD,45386638,1.3311077815016559,6.48,USD,,Electronic technology,Aerospace & defense,29209776.066666666,4911247297.719745,USD,83.7173,757908000,14955.537337200018,-0.9895,USD,30.95869383198437,5.070436507936554,-0.26,USD,-0.310615,USD,03945R102
ACMR,"ACM Research, Inc.",59.85,USD,1150649,0.9552905533707877,59.85,USD,45.63129002744739,Producer manufacturing,Industrial machinery,1118236.8666666674,3933796373.718749,USD,90.55099999999999,60705800,4.3014694414330075,1.3116,USD,-16.138107416879794,6.181393961093214,0.34,USD,0.4,USD,00108J109
ACN,Accenture plc,180.42,USD,5573775,1.05789604945095,180.42,USD,14.779438869547409,Technology services,Information technology services,5266766.533333333,110766924598.01808,USD,99.7398,613939000,1.5558613390922085,12.2075,USD,0.7327518628235627,3.2821432530447434,2.93,USD,3.72913,USD,
ACVA,ACV Auctions Inc.,6.41,USD,5658711,1.232686476442472,6.41,USD,,Technology services,Internet software/Services,3218864.1333333333,1119089110.3846157,USD,93.61439999999999,174585000,1.4425970521097768,-0.3621,USD,18.720538720538727,5.109872966347242,0.045091,USD,0.05393,USD,00091G104
ADBE,Adobe Inc.,253.04,USD,3662106,0.7711999076777025,253.04,USD,14.739993825326646,Technology services,Packaged software,5035784,102278774982.25066,USD,99.6864,404200000,4.31135688872531,17.1669,USD,13.059885800090878,3.0784573867488287,6.06,USD,5.824533,USD,00724F101
